steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,mode,seed,test_year,secs,regen_id,config_hash,git_sha,image
5760,-2.653002977047955,10.231692549797067,12.884695526845022,5.05016373571871,2.316550468884292,5.517981322242021,415662.5098355059,56.11293039687456,18.39327107414007,7.721834896280974,52.63888888888889,2728,5423.136255264282,96.90972222222224,178,150741.44958496094,63.97569444444444,2075,3989.631519317627,4981,1726.5517050250426,634.2507265473274,1715.963309595796,1270.50059269414,0,5760,1.0,False,adapt,static,static,11,2022,78.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.242225981920889,10.794408750739162,14.036634732660051,5.988855971810023,2.017944771851856,6.029833988998174,438522.8554987785,66.54284413122248,20.099446629993917,6.726482572839521,70.50347222222221,1699,1488.646481513977,100.0,0,0.0,66.54513888888889,1927,3812.0554428100586,3626,2047.4721270665195,693.0843665885875,1494.7739050550556,1325.3870050042096,0,5760,1.0,False,adapt,dagger,dagger,11,2022,75.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5218,-3.807076093693815,8.002314124162947,11.809390217856762,6.505110885142145,4.940785443757384,0.3634938889572324,325094.0112941197,72.27900983491273,1.2116462965241082,16.469284812524613,79.877347642775,1050,882.082501411438,54.829436565734,2357,7596416.43347168,72.36489076274435,1442,1677.6630096435547,4849,2223.9695321524555,41.78090674166415,3659.8410687306905,935.9576078093831,0,5760,0.9059,True,adapt,ekf,ekf,11,2022,69.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.5732857286361828,8.74004850011164,10.313334228747824,4.931846728420584,2.5538656302054084,2.8276218701218307,355064.4703170354,54.79829698245093,9.425406233739436,8.512885434018028,51.12847222222222,2815,3740.3629970550537,100.0,0,0.0,52.22222222222223,2752,4742.635948181152,5567,1686.1014457651197,325.0140081889497,1891.75231814645,1646.024357130963,0,5760,1.0,False,adapt,static,static,11,2023,72.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.2862696605494148,8.78842112262305,10.074690783172466,5.465341986654114,2.1470938149084065,2.462254981609945,357029.60810656147,60.72602207393461,8.207516605366486,7.1569793830280215,62.44791666666667,2163,1811.2103605270383,100.0,0,0.0,57.44791666666666,2451,3666.6181259155273,4614,1868.492987415848,283.0178138529215,1590.439862270443,1691.164622068592,0,5760,1.0,False,adapt,dagger,dagger,11,2023,70.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5320,-4.53019717495788,2.822612979738783,7.352810154696664,5.2607039145737335,1.70041183651275,0.3916944036101801,114668.65230188808,58.45226571748593,1.3056480120339338,5.668039455042501,97.80075187969923,117,186.547438621521,89.81203007518796,542,567514.0910644531,51.52255639097745,2579,3432.206882476806,3238,1798.5312527326998,45.02234511367318,1259.5643234246309,565.3571440471312,0,5760,0.9236,True,adapt,ekf,ekf,11,2023,69.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.76141257215075,8.115463110729735,11.876875682880485,6.313356194375675,1.9531753579645488,3.61034413054026,329690.68887339544,70.14840215972973,12.0344804351342,6.510584526548495,56.25,2520,3879.3224699497214,99.32291666666669,39,18569.43078613281,54.37499999999999,2628,5511.741409301758,5187,2158.41237484079,414.98208396642,1446.7965611898428,1370.821999632863,0,5760,1.0,False,adapt,static,static,12,2021,76.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.859977008364298,8.141308290849587,12.001285299213883,6.892113012110369,1.691945135374769,3.4172271517287456,330740.6493157644,76.57903346789298,11.390757172429153,5.6398171179158965,66.875,1908,1478.3465375900269,99.07986111111111,53,46350.12561035156,55.95486111111111,2537,4643.510940551758,4498,2356.277953336678,392.7847301901629,1253.29269312186,1365.098985574539,0,5760,1.0,False,adapt,dagger,dagger,12,2021,76.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-1.1645568367722687,11.103199954611847,12.267756791384118,7.27443459095075,4.121398778521905,0.8719234219114619,451067.49815610633,80.82705101056389,2.90641140637154,13.73799592840635,91.31944444444444,500,406.3503112792969,67.95138888888889,1846,2144711.601928711,38.45486111111111,3545,5190.353004455566,5891,2486.98618579936,100.22108290342746,3052.8879854694637,875.7726648416024,0,5760,1.0,False,adapt,ekf,ekf,12,2021,80.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-3.390141821393925,10.363297741883832,13.75343956327776,5.237531528110226,2.466030860612004,6.049877174555527,421008.9707640307,58.1947947567803,20.166257248518423,8.22010286870668,55.989583333333336,2535,4795.926902294159,96.80555555555556,184,134597.86059570312,63.66319444444445,2093,3902.119983673096,4812,1790.609068941887,695.3881809559455,1826.6895271090104,1332.069480386735,0,5760,1.0,False,adapt,static,static,12,2022,81.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,0.3901169993236523,15.360524612123712,14.97040761280006,5.837673493680661,2.042196504385261,7.090537614734137,624021.3123675258,64.86303881867401,23.635125382447125,6.807321681284203,77.08333333333334,1320,1305.3058528900146,100.0,0,0.0,62.04861111111111,2186,4052.461963653565,3506,1995.785810863333,815.0043232626065,1512.7381511077149,1352.6200757273136,0,5760,1.0,False,adapt,dagger,dagger,12,2022,85.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
4459,-5.097026445881392,3.488769788494393,8.585796234375785,5.437640664599797,2.086258776958881,1.0618967928171072,141731.27265758472,60.41822960666442,3.5396559760570243,6.954195923196271,76.76609105180535,1036,1187.3884496688845,77.2370486656201,1015,1880905.2807617188,66.85355460865665,1478,1610.7386627197266,3529,1859.0224498143132,122.05710301549504,1545.3768721972183,582.9373022625325,0,5760,0.7741,True,adapt,ekf,ekf,12,2022,60.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,-2.733569664949989,8.580547323360662,11.314116988310651,5.109855090609512,2.6563008006716617,3.5479610970294786,348584.73501152697,56.77616767343903,11.826536990098262,8.854336002238872,55.57291666666667,2559,2988.710731506348,100.0,0,0.0,53.15972222222223,2698,4587.291885375977,5257,1746.959004707512,407.8116203005419,1967.6302231873703,1708.7611608710397,0,5760,1.0,False,adapt,static,static,12,2023,74.5,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5760,0.1270567641558131,10.55910468272164,10.432047918565823,5.443175353296824,2.181194675660965,2.8076778896080365,428963.6277355666,60.47972614774249,9.358926298693456,7.270648918869885,71.31944444444444,1652,1311.7319622039795,100.0,0,0.0,51.09375000000001,2817,4418.789596557617,4469,1860.914650199576,322.7215964748503,1615.6997602791062,1766.405378968736,0,5760,1.0,False,adapt,dagger,dagger,12,2023,77.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
5321,-4.59774395711494,2.969264712076372,7.567008669191311,5.622601357506044,1.7125099861691873,0.2318973255160805,120626.3789281026,62.47334841673382,0.7729910850536017,5.708366620563957,97.08701371922572,155,217.21498775482175,84.77729750046984,810,1531768.44921875,62.16876526968614,2013,3073.256504058838,2978,1922.2568748447036,26.65486493132661,1268.5259165863645,531.2247714070161,0,5760,0.9238,True,adapt,ekf,ekf,12,2023,75.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
