steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,oracle_horizon,seed,test_year,secs,regen_id,config_hash,git_sha,image,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,recipe,xi_uboil,rng_seed,traj_steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,19,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,10.741387012253124,8.392183058927863,,0.0,20.0,confirmatory,0.0581229763253284,3747979278.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,19,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.576192291024077,6.619886967448769,,0.0,20.0,lowthr,0.0492884264789444,1519259795.0,5760.0
5760.0,2.9060299595184538,18.01890342903692,15.112873469518464,7.679688308647336,2.664534657307101,4.768650503564028,732017.9518046249,85.3298700960815,15.89550167854676,8.881782191023671,74.0625,1494.0,2446.116859436035,100.0,0.0,0.0,69.34027777777779,1766.0,4156.366451263428,3260.0,2625.534463472017,548.1207468983857,1973.7293751118216,742.7327609335678,11.0,5760.0,1.0,False,horizon,h=12,12.0,2,2020,4828.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
5760.0,2.7498578375567724,18.102437548498397,15.35257971094162,7.558688664420188,2.609669103495364,5.184221943026068,735411.5254077472,83.98542960466877,17.280739810086892,8.698897011651212,80.59027777777777,1118.0,1779.8812952041626,100.0,0.0,0.0,69.67013888888889,1747.0,4007.467678070069,2865.0,2584.167063547952,595.8875787329366,1933.088223415879,709.2322122221034,67.0,5760.0,1.0,False,horizon,h=20,20.0,2,2020,7931.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3685.0,0.195118992938722,11.795205277230217,11.600086284291493,5.381701615107071,1.5752477768594444,4.643136892324978,479180.2143874775,59.79668461230079,15.477122974416591,5.250825922864815,75.41383989145183,906.0,1771.5423307418823,100.0,0.0,0.0,70.47489823609226,1088.0,2523.944694519043,1994.0,1839.89798553822,533.6938962441293,1166.8502041244724,435.08792663727695,100.0,5760.0,0.6398,True,horizon,h=48,48.0,2,2020,12345.1,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3532.0,-1.032288561573248,11.470311525025966,12.502600086599212,5.429854825149546,1.605320869977974,5.467424391471695,465981.4057041799,60.3317202794394,18.22474797157232,5.351069566593247,68.54473386183464,1111.0,2243.842998981476,100.0,0.0,0.0,70.0736126840317,1057.0,2599.908157348633,2168.0,1856.3606226421336,628.4395852977482,1189.126570874666,467.0447238279306,100.0,5760.0,0.6132,True,horizon,h=96,96.0,2,2020,20185.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,2,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.168163428376358,7.236054979741123,,0.0,20.0,confirmatory,0.0,1712067057.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,2,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.450888882339939,6.495666350534291,,0.0,20.0,lowthr,0.042042231500708,288255471.0,5760.0
5760.0,2.916048290715694,18.001299901192866,15.085251610477172,7.639564842298273,2.641255976059874,4.804430792119023,731302.8084859601,84.88405380331415,16.01476930706341,8.804186586866248,73.99305555555556,1498.0,2433.228183746338,100.0,0.0,0.0,68.83680555555556,1795.0,4221.119426727295,3293.0,2611.817040249304,552.2334244031379,1956.4859067901068,737.7862455134833,16.0,5760.0,1.0,False,horizon,h=12,12.0,3,2020,4393.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
5760.0,2.767978326671838,18.06709844627768,15.299120119605837,7.4824184056886995,2.6173077666602933,5.199393947256844,733975.8743800306,83.13798228543,17.331313157522814,8.724359222200977,80.83333333333333,1104.0,1749.6370372772217,100.0,0.0,0.0,69.91319444444444,1733.0,3977.1311416625977,2837.0,2558.0917626538376,597.6314876869144,1938.746494002188,710.9351751625284,73.0,5760.0,1.0,False,horizon,h=20,20.0,3,2020,7171.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3742.0,0.3110792272222292,12.068848170381678,11.757768943159448,5.407456067976758,1.6081955390322935,4.742117336150398,490296.9569217557,60.08284519974176,15.807057787167992,5.360651796774312,74.79957242116515,943.0,1865.6629123687744,100.0,0.0,0.0,70.95136290753608,1087.0,2499.06404876709,2030.0,1848.702929247897,545.0709589409065,1191.2559545517993,442.9053384391236,100.0,5760.0,0.6497,True,horizon,h=48,48.0,3,2020,10823.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3539.0,-0.8790039449058925,11.583557223999184,12.462561168905074,5.436196524000001,1.6148693221578476,5.411495322747227,470582.0122249668,60.402183600000015,18.03831774249076,5.382897740526159,68.94602995196382,1099.0,2200.666917800904,100.0,0.0,0.0,69.36987849675049,1084.0,2463.3032875061035,2183.0,1858.5287243615423,622.0109561956617,1196.199497740373,460.5073638891997,100.0,5760.0,0.6144,True,horizon,h=96,96.0,3,2020,19107.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
