block,condition,seed,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,guard_activations,secs
signal,mahalanobis,11,2023,2.8595478900837894,0.1161703860697108,0.1527294298832404,0.6014727300255107,0.6160199878877526,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,11,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.7268114332615334,8.719479959824232,10.446291393085763,4.954679994970846,2.5438380379187926,2.9477733601961287,354228.87336785946,55.05199994412051,9.825911200653763,8.479460126395976,51.47569444444444,2795.0,3743.9910745620728,100.0,0.0,0.0,52.89930555555556,2713.0,4689.099903106689,5508.0,1693.9076906139485,338.82452419244515,1884.324472448548,1633.499499702601,0.0,5760.0,1.0,False,-1.0,66.6
guard,guarded,11,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.3151613479065678,8.263481906189735,9.578643254096304,5.052744600980169,2.51759912625678,2.008299526859354,335703.952438958,56.14160667755744,6.694331756197847,8.3919970875226,49.270833333333336,2922.0,4560.369349479675,100.0,0.0,0.0,53.61111111111111,2672.0,5703.061046600342,5594.0,1727.4340515601775,230.83902607685167,1864.8882419035417,1611.244695215209,0.0,5760.0,1.0,False,-1.0,65.6
signal,mahalanobis,12,2021,2.8595478900837894,0.2263797486742395,0.1871208794429454,0.6631445350183292,0.6418801048298926,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-3.443538429774416,7.980218954156759,11.423757383931177,6.269805039907747,1.9465381819283625,3.2074141620950645,324196.39501261833,69.66450044341941,10.691380540316882,6.488460606427875,55.53819444444444,2561.0,4114.023492336273,99.58333333333331,24.0,7932.4500732421875,53.92361111111112,2654.0,5577.904891967773,5239.0,2143.5230897061847,368.6682944698645,1441.8801340841617,1379.2955132643683,0.0,5760.0,1.0,False,-1.0,72.1
guard,guarded,12,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.1207466640050185,7.157483417720919,9.278230081725937,5.905552858411234,1.7425879784098075,1.6300892449048971,290772.76384491235,65.61725398234705,5.433630816349657,5.808626594699359,46.47569444444444,3083.0,7325.167992115021,98.71527777777776,74.0,21585.4423828125,46.12847222222222,3103.0,12936.296627044678,6260.0,2018.992429919857,187.3665797719773,1290.8059097855448,1277.054423313556,0.0,5760.0,1.0,False,-1.0,72.6
signal,mahalanobis,12,2022,2.8595478900837894,0.2497231335790368,0.1906869800117737,0.7199128226359681,0.6280340911527,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.981162968270565,10.332203460534217,13.313366428804782,5.187036200130714,2.454839876849004,5.671490351825064,419745.7655842026,57.63373555700793,18.90496783941688,8.18279958949668,55.833333333333336,2544.0,4921.88136100769,96.96180555555556,175.0,130168.59948730467,62.58680555555556,2155.0,4156.60693359375,4874.0,1773.345708152396,651.8954428997645,1818.3999074848284,1335.1859120076076,0.0,5760.0,1.0,False,-1.0,76.8
guard,guarded,12,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5027.0,-1.0544378021069136,7.700503959180168,8.75494176128708,4.945750859395349,1.6645126161224897,2.144678285769243,312832.97334169433,54.95278732661499,7.148927619230809,5.548375387074965,51.10403819375373,2458.0,7272.746302127838,96.63815396856972,169.0,88959.76867675781,56.39546449174458,2192.0,8077.925910949707,4819.0,1690.8549935609822,246.51474580289812,1232.97230852975,975.6194958276826,0.0,5760.0,0.8727,True,-1.0,66.1
signal,mahalanobis,12,2023,2.8595478900837894,0.1184495346365297,0.2041079699136973,0.5989471120865222,0.6369065802731152,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
