block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
guard,plain,13,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.0865284519495706,8.494556767034997,11.581085218984567,6.545294387022307,1.8223181478948005,3.21347268406746,345091.3686607968,72.72549318913674,10.7115756135582,6.074393826316002,60.41666666666666,2280.0,2298.067017555237,99.49652777777776,29.0,9311.772583007812,54.49652777777778,2621.0,5508.916473388672,4930.0,2237.707482153928,369.3646763355571,1349.8652948148963,1346.6036850378878,0.0,5760.0,1.0,False,False,complete,-1.0,90.3
guard,guarded,13,0,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.974689801336249,7.383092662344254,10.357782463680502,6.661453915983104,1.6254597607433428,2.070868786954055,299938.1394077353,74.01615462203449,6.902895956513517,5.418199202477809,50.920138888888886,2827.0,7155.49974155426,98.31597222222224,97.0,39942.279296875,47.88194444444444,3002.0,10353.629501342772,5926.0,2277.420141418298,238.03089487350385,1204.044267297473,1230.7813785563358,0.0,5760.0,1.0,False,False,complete,-1.0,93.1
signal,mahalanobis,13,0,2022,2.8595478900837885,0.2497841760506087,0.1899428817946114,0.7261982281818766,0.682193522627393,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-0.357786832788964,13.020416656910667,13.378203489699631,5.723999369560941,2.179577372537554,5.474626747601137,528954.4266869959,63.59999299512157,18.248755825337124,7.265257908458513,67.23958333333333,1887.0,2050.728211402893,100.0,0.0,0.0,63.47222222222222,2104.0,4559.908802032471,3991.0,1956.922861121827,629.2674420389227,1614.5017577180192,1323.525307418218,0.0,5760.0,1.0,False,False,complete,-1.0,95.7
guard,guarded,13,0,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5329.0,-1.8254623654406628,8.188916917925242,10.014379283365905,6.011350225454455,1.6289530048283527,2.374076053083096,332674.74979071296,66.79278028282728,7.913586843610321,5.429843349427842,59.44830174516795,2161.0,6935.173576831818,98.1422405704635,99.0,45080.24938964844,56.689810471007696,2308.0,8285.89705657959,4568.0,2055.162471456787,272.8823049023422,1206.6318545838008,1018.9688176498628,0.0,5760.0,0.9252,True,False,env_terminated,-1.0,82.3
signal,mahalanobis,13,0,2023,2.8595478900837885,0.1265124074160987,0.1951108336221838,0.621941121615538,0.6746662432739512,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.346060599841597,10.905097974410452,10.559037374568852,5.076732370492861,2.553539388466468,2.9287656156095254,443019.6052104246,56.40813744992068,9.762552052031753,8.511797961554892,57.951388888888886,2422.0,2516.4873037338257,100.0,0.0,0.0,51.16319444444445,2813.0,4981.819110870361,5235.0,1735.6349983454434,336.63972595194707,1891.5106579999208,1700.5316423324464,0.0,5760.0,1.0,False,False,complete,-1.0,90.9
guard,guarded,13,0,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-1.000477997119182,8.775128891189933,9.775606888309117,5.213692775676779,2.457127156076714,2.1047869565556225,356489.61120459106,57.92991972974199,7.015956521852075,8.190423853589047,53.42013888888889,2683.0,4067.788650989533,99.46180555555556,31.0,7771.018188476562,48.83680555555556,2947.0,7198.094284057617,5661.0,1782.4590682513413,241.92953528082035,1820.0941900313449,1641.178193515483,0.0,5760.0,1.0,False,False,complete,-1.0,89.4
signal,mahalanobis,13,1,2021,2.8595478900837885,0.2100111026937078,0.220900401574778,0.6553596694321179,0.6860881326773426,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.801307691357314,8.512541251436428,11.313848942793742,6.47842369746919,1.6745968909177305,3.1608283544068203,345821.98833960487,71.98248552743544,10.5360945146894,5.581989636392435,59.86111111111111,2312.0,2342.9604320526123,99.49652777777776,29.0,6929.605346679688,52.44791666666667,2739.0,5957.550407409668,5080.0,2214.8457092577155,363.3136038638475,1240.442140663933,1372.0281362330438,0.0,5760.0,1.0,False,False,complete,-1.0,94.9
