block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
guard,plain,12,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.6769182679633854,8.015775938051597,11.69269420601498,6.356344253958241,1.9508842393741235,3.385465712682616,325640.8974833461,70.62604726620268,11.284885708942054,6.502947464580412,56.97916666666667,2478.0,3930.337968826294,99.51388888888889,28.0,10018.983642578125,54.34027777777778,2630.0,5401.620620727539,5136.0,2173.1091460470716,389.1339900001611,1445.099436503143,1391.5582006090572,0.0,5760.0,1.0,False,False,complete,-1.0,93.2
guard,guarded,12,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.4462412557851594,7.09292623687481,9.539167492659969,5.933567812758469,1.7501244935682203,1.8554751863332795,288150.12837303913,65.92853125287188,6.184917287777599,5.833748311894068,46.40625,3087.0,7512.447672843933,98.66319444444444,77.0,23351.834228515625,46.57986111111111,3077.0,13372.637882232666,6241.0,2028.5701920945162,213.27300992622182,1296.3885136292747,1275.7940685807932,0.0,5760.0,1.0,False,False,complete,-1.0,92.4
signal,mahalanobis,12,1,2022,2.8595478900837885,0.23638491110150228,0.23299201206519748,0.6939237450961476,0.6756651017214398,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.336861123985244,10.272090166574694,13.608951290559938,5.3173138076120265,2.43572423094623,5.855913252001681,417303.663017097,59.08126452902252,19.519710840005605,8.119080769820767,58.47222222222223,2392.0,4624.331344127655,97.51736111111111,143.0,114380.91491699219,62.56944444444444,2156.0,3904.5874557495117,4691.0,1817.8850629762148,673.0934772113728,1804.2401700454852,1363.2924381918383,0.0,5760.0,1.0,False,False,complete,-1.0,98.3
guard,guarded,12,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5027.0,-1.3868532413280583,7.506182262460005,8.893035503788063,4.964433220973984,1.628166633576003,2.3004356492380755,304938.6544124377,55.16036912193315,7.668118830793586,5.427222111920011,51.42231947483589,2442.0,7553.935287475586,96.65804654863736,168.0,90674.84985351562,55.30137258802467,2247.0,8536.990726470947,4857.0,1697.2421281326456,264.4178908596025,1206.0493588734766,980.9079569245117,0.0,5760.0,0.8727,True,False,env_terminated,-1.0,82.7
signal,mahalanobis,12,1,2023,2.8595478900837885,0.12907752668669947,0.24854348869557102,0.5952822863742576,0.6975555769931614,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,1,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.8763421739467,8.301290029854378,11.17763220380108,5.214546322304984,2.61614606112732,3.3469398203687746,337239.90746283415,57.93940358116649,11.156466067895916,8.7204868704244,59.635416666666664,2325.0,2775.668794631958,100.0,0.0,0.0,51.52777777777777,2792.0,4567.035064697266,5117.0,1782.7508794563107,384.70572646302213,1937.8859698672209,1732.9029932873682,0.0,5760.0,1.0,False,False,complete,-1.0,89.6
guard,guarded,12,1,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.471522912395656,7.8608235475891295,10.332346459984787,5.231485122697909,2.5883296650789553,2.5125316722079223,319345.9566208084,58.12761247442121,8.375105574026408,8.627765550263184,54.72222222222223,2608.0,4024.881178855896,99.70486111111111,17.0,4760.4012451171875,50.83333333333333,2832.0,6832.920337677002,5457.0,1788.5419219655673,288.7967439100651,1917.2812332259234,1676.0335757377893,0.0,5760.0,1.0,False,False,complete,-1.0,91.1
signal,mahalanobis,12,2,2021,2.8595478900837885,0.23356322919257644,0.24725966361974352,0.6725519593971745,0.7074919073037923,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,12,2,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.620390157162247,8.0645898494794,11.684980006641648,6.302242996719365,1.9473967729861732,3.43534023693611,327623.9626351007,70.02492218577073,11.451134123120367,6.491322576620577,56.21527777777777,2522.0,3980.663004875183,99.65277777777779,20.0,6842.2081298828125,54.20138888888889,2638.0,5535.8117599487305,5180.0,2154.6129921959146,394.86669377541887,1442.5161287875935,1375.013959083841,0.0,5760.0,1.0,False,False,complete,-1.0,93.4
