steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,mode,seed,draw,test_year,secs,regen_id,config_hash,git_sha,image
5760,0.049342184248903,9.5264244452068,9.477082260957896,5.927908466829873,2.2182296320981365,1.3309441620298872,387010.9930865262,65.86564963144303,4.436480540099624,7.394098773660455,71.35416666666666,1650,1466.798542022705,99.44444444444444,32,4451.31884765625,61.90972222222222,2194,5287.84712600708,3876,2026.635373662824,152.98208747516912,1643.1330605722987,1264.7315920629378,0,5760,1.0,False,False,complete,adapt,static,static,0,3,2022,86.3,regen-v2,637c6b535a9e,f8f1aef,local
5760,5.807077182657411,15.472320741835432,9.665243559178023,5.87057309592636,2.607553922103885,1.1871165411477775,628563.0301370645,65.22858995473733,3.9570551371592586,8.691846407012951,78.48958333333333,1239,906.3420181274414,100.0,0,0.0,58.958333333333336,2364,4181.015579223633,3603,2007.0335377118856,136.45017698614706,1931.521424508698,1190.6630619853197,0,5760,1.0,False,False,complete,adapt,dagger,dagger,0,3,2022,95.9,regen-v2,637c6b535a9e,f8f1aef,local
5760,1.5894501747947851,12.945073056143974,11.35562288134919,6.634712742923606,4.134592649200675,0.5863174892249097,525893.592905849,73.71903047692895,1.954391630749699,13.781975497335583,81.19791666666667,1083,942.746280670166,78.09027777777777,1262,2753996.729736328,58.09027777777778,2414,3629.0521697998047,4759,2268.277860612675,67.39281497067422,3062.6612208002093,1153.7502419261643,0,5760,1.0,False,False,complete,adapt,ekf,ekf,0,3,2022,88.9,regen-v2,637c6b535a9e,f8f1aef,local
5760,4.579715999595684,12.8400566575915,8.260340657995819,5.092280217308916,2.621402065274089,0.5466583754128131,521627.3017146548,56.58089130343241,1.8221945847093768,8.738006884246964,68.36805555555556,1822,1456.693602561951,100.0,0,0.0,49.63541666666666,2901,5670.03231048584,4723,1740.9505017898784,62.83429616275557,1941.7793070348844,1682.9044499887948,0,5760,1.0,False,False,complete,adapt,static,static,0,3,2023,92.4,regen-v2,637c6b535a9e,f8f1aef,local
5760,4.504757135867791,13.026116514640762,8.52135937877297,5.332160895550455,3.0465742966062823,0.142624186616234,529185.983407281,59.24623217278284,0.4754139553874469,10.155247655354277,75.95486111111111,1385,977.6855506896972,100.0,0,0.0,48.888888888888886,2944,5461.083160400391,4329,1822.960990609834,16.393584591908464,2256.721702780164,1536.6003284695914,0,5760,1.0,False,False,complete,adapt,dagger,dagger,0,3,2023,94.9,regen-v2,637c6b535a9e,f8f1aef,local
5318,-4.280532795433586,2.982090058527481,7.2626228539610675,5.314502712673939,1.7280136447076504,0.2201064965794777,121147.40862767892,59.05003014082154,0.7336883219315924,5.7600454823588345,97.9879654005265,107,107.87042999267578,85.53967657013915,769,918951.303955078,47.49905979691613,2792,5171.939987182617,3668,1816.9240036835783,25.29959726574728,1280.0101073620565,536.5474027659994,0,5760,0.9233,True,False,env_terminated,adapt,ekf,ekf,0,3,2023,82.4,regen-v2,637c6b535a9e,f8f1aef,local
5760,-5.619572083486918,8.850280504163585,14.469852587650504,5.976319727732037,5.882679461001121,2.610853398917345,359542.64548164565,66.40355253035597,8.702844663057817,19.608931536670404,60.64236111111111,2267,2537.837829589844,47.93402777777778,2999,7079266.939941406,43.732638888888886,3241,7707.490501403809,8507,2043.1862302881864,300.0980919479064,4357.5403411371335,1280.4459490808842,0,5760,1.0,False,False,complete,adapt,static,static,0,4,2021,85.4,regen-v2,637c6b535a9e,f8f1aef,local
5760,-3.402856111550502,4.582525540812665,7.985381652363168,7.42459400202392,0.0040872558385657,0.5567003945006818,186165.10009551453,82.49548891137688,1.8556679816689392,0.0136241861285525,81.18055555555556,1084,1273.6265115737915,88.40277777777777,668,49668.5334777832,61.63194444444444,2210,9375.14023590088,3962,2538.322735665288,63.98855116636247,3.0275969390580237,415.2825288587047,0,5760,1.0,False,False,complete,adapt,dagger,dagger,0,4,2021,79.9,regen-v2,637c6b535a9e,f8f1aef,local
5221,-1.3302383776582611,9.475756437829348,10.80599481548761,6.933101620174408,2.96974089953984,0.9031522957733624,384952.6052868173,77.0344624463823,3.0105076525778744,9.899136331799468,92.16625167592414,409,322.95669746398926,79.96552384600652,1046,1571040.196044922,37.57900785290174,3259,5302.424133300781,4714,2370.291151686368,103.8106086749759,2199.80807384108,717.4070362693133,0,5760,0.9064,True,False,env_terminated,adapt,ekf,ekf,0,4,2021,79.1,regen-v2,637c6b535a9e,f8f1aef,local
5760,-4.078748760522132,11.49399978297693,15.57274854349906,4.821671723791739,5.697717086400171,5.053359733307151,466943.74118343776,53.574130264352654,16.84453244435717,18.99239028800057,62.326388888888886,2170,2445.6453771591187,55.03472222222222,2590,10554033.10583496,47.36111111111111,3032,8175.515239715576,7792,1648.4347767410566,580.8459465126759,4220.531173434759,1265.373150185569,0,5760,1.0,False,False,complete,adapt,static,static,0,4,2022,86.6,regen-v2,637c6b535a9e,f8f1aef,local
5760,1.3388324000489138,8.582878688633322,7.244046288584408,6.850216200541439,0.0037746688254943,0.3900554192174738,348679.4467257287,76.11351333934932,1.3001847307249126,0.0125822294183144,86.49305555555556,778,1149.8270235061646,78.52430555555556,1237,116668.780128479,64.6875,2034,7968.6643714904785,4049,2341.9542567677363,44.83395615554619,2.7960510095176216,482.0840884709023,0,5760,1.0,False,False,complete,adapt,dagger,dagger,0,4,2022,93.1,regen-v2,637c6b535a9e,f8f1aef,local
5026,-5.689524745099592,4.873682690820608,10.563207435920198,6.125039494194718,3.338753868137842,1.0994140735876383,197993.3593145872,68.05599437994131,3.664713578625461,11.129179560459477,86.33107839235973,687,442.0764789581299,59.212097095105456,2050,7665548.15222168,59.64982093115798,2028,2447.387306213379,4765,2094.0305951561563,126.36943375820312,2473.151012703227,564.0297233826637,0,5760,0.8726,True,False,env_terminated,adapt,ekf,ekf,0,4,2022,76.4,regen-v2,637c6b535a9e,f8f1aef,local
