steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,shift,dagger_iter
33,-0.021723985037556487,0.05305732798643911,0.07478131302399561,0.008259136408846825,0.03693461342453956,0.029587563190609213,2155.453949449089,0.09176818232052028,0.09862521063536404,0.12311537808179854,75.75757575757575,8,19.632247924804688,75.75757575757575,8,7441.9036865234375,21.21212121212121,26,335.9517822265625,42,2.823636354724065,3.4008693469925517,27.358973065054847,11.449346218213073,0,dagger,1,2021-07-01,2.0
33,-0.018965061426565157,0.049799605262691976,0.06876466668925713,0.007382396868872456,0.034018529140949244,0.027363740679435433,2023.1089637968616,0.08202663187636063,0.09121246893145145,0.11339509713649748,75.75757575757575,8,20.058391571044922,72.72727272727273,9,6483.2056884765625,18.181818181818183,27,342.6037139892578,44,2.523896367545837,3.145257554732603,25.19891043860208,11.30240354827135,0,dagger,1,2021-07-01,3.0
1680,0.18754505156555767,1.647096158958393,1.4595511073928353,0.032159063936350644,1.4273920434564846,0.0,66913.28145768472,0.3573229326261183,0.0,4.7579734781882825,84.22619047619048,265,577.4824104309082,100.0,0,0.0,47.67857142857143,879,5937.6521072387695,1144,10.994551793143769,0.0,1057.3274384328747,1298.1489451441453,0,rule_based,2,2021-07-01,
1576,-1.715165321735241,0.38786770195351483,2.1030330236887558,0.09903096211832017,2.0040020615704357,0.0,15757.12539186154,1.1003440235368909,0.0,6.680006871901453,76.33248730964468,373,1078.4569969177246,100.0,0,0.0,61.86548223350253,601,3231.81632232666,974,33.85673918682178,0.0,1484.4459715550267,618.5288624119537,0,offline,2,2021-07-01,
123,-0.025780766607822768,0.16370398037116796,0.18948474697899076,0.028800769819132984,0.15198397715985773,0.0087,6650.474202578698,0.32000855354592206,0.028999999999999998,0.5066132571995258,72.35772357723577,34,95.9788703918457,81.30081300813008,23,40290.68017578125,58.536585365853654,51,409.83123779296875,108,9.846417053218811,1.0,112.58072380131932,44.79182946577293,0,ekf_sindy,2,2021-07-01,
35,-0.062130325166314594,0.024448496921926986,0.0865788220882416,0.05871461773887278,0.008293117017298936,0.019571087332069876,993.2201874532839,0.6523846415430309,0.06523695777356625,0.027643723390996452,65.71428571428571,12,47.758506774902344,100.0,0,0.0,51.42857142857142,17,95.35794067382812,29,20.073373543842024,2.2495502742348057,6.143049651375778,10.599303914173769,0,retrained_ceiling,2,2021-07-01,
1576,-1.687030994582006,0.37628333023631266,2.0633143248183186,0.09543628941751085,1.9678780354008079,0.0,15286.510290850201,1.0604032157501206,0.0,6.559593451336027,76.33248730964468,373,1079.3539657592773,100.0,0,0.0,61.6751269035533,604,3273.6084022521973,977,32.62779125528057,0.0,1457.687432912036,615.7710877751861,0,dagger,2,2021-07-01,0.0
36,0.0023194578220842145,0.0678283995404614,0.06550894171837718,0.005153682287223637,0.03687088610976934,0.023484373321384193,2755.5287313312438,0.05726313652470708,0.07828124440461398,0.12290295369923113,72.22222222222221,10,23.604305267333984,100.0,0,0.0,38.88888888888889,22,256.0178451538086,32,1.7619426552272275,2.6993532655243224,27.31176749590334,14.12797837546864,0,dagger,2,2021-07-01,1.0
36,-0.051265205967880666,0.037908121113071326,0.089173327080952,0.013274304912658408,0.029934024681150913,0.04596499748714269,1540.0174202185226,0.14749227680731564,0.15321665829047562,0.09978008227050304,61.111111111111114,14,52.06476974487305,91.66666666666666,3,464.98583984375,27.77777777777778,26,313.5685729980469,43,4.5382239236877675,5.283333052898044,22.173351732899064,10.76166536361719,0,dagger,2,2021-07-01,2.0
37,-0.02743477191041744,0.06337977583892965,0.09081454774934711,0.019307940032816533,0.039945733281970014,0.031560874434560536,2574.8033934565174,0.2145326670312948,0.10520291478186845,0.1331524442732334,70.27027027027027,11,27.81468963623047,100.0,0,0.0,43.24324324324324,21,179.63710021972656,32,6.6010052117503735,3.6276867427846597,29.58943194176835,14.79999989009144,0,dagger,2,2021-07-01,3.0
