steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,secs,uBoil_t_in
5760,2.420653056578698,13.827413644884109,11.406760588305412,4.958562545047478,5.815422150614825,0.6327758926431089,561738.6793234169,55.09513938941642,2.109252975477029,19.384740502049414,69.6875,1746,1111.714334487915,51.78819444444444,2777,2944963.795654297,52.951388888888886,2710,5647.894687652588,7233,1695.2350579981714,72.73286128142887,4307.720111128859,1281.3593480092825,0,sindy_mpc_dense,17,80.1,0.0404641492632333
5760,5.899026200905198,13.3257000893635,7.426673888458301,5.0882357437630485,2.3383621549743747,7.598972087725997e-05,541356.5661303921,56.53595270847832,0.0002532990695908,7.794540516581249,57.15277777777777,2468,2566.215612411499,100.0,0,0.0,64.51388888888889,2044,3861.414505004883,4512,1739.5677749945871,0.0087344505069536,1732.1201139233644,1467.5950196346355,0,sindy_mpc_conf_dagger,17,112.1,0.0683588528383281
5760,1.6528615714381416,10.068406531464166,8.415544960026025,5.1926996471894125,3.0609674508760376,0.1618778619605757,409029.0153407318,57.69666274654903,0.5395928732019193,10.20322483625346,67.69097222222223,1861,1873.3279037475584,94.42708333333331,321,159511.68786621094,63.107638888888886,2125,4210.751953125,4307,1775.2819304866575,18.606650807874317,2267.383296171079,1418.274309657636,0,sindy_mpc_dense_dagger,17,99.7,0.0576067374072587
5760,6.075159476715712,16.539268768215997,10.464109291500284,4.11915255536735,4.8020606043062495,1.5428961318266836,671907.7937087748,45.76836172630389,5.142987106088945,16.006868681020833,51.11111111111111,2816,3840.2571353912354,65.67708333333333,1977,2788159.6247558594,50.71180555555556,2839,7027.153659820557,7632,1408.2572844930664,177.3443828987557,3557.0819296760674,1413.3499907085838,0,sindy_mpc_confirmatory,18,93.4,0.0
3681,0.4110630823028043,7.92989009466344,7.518827012360636,3.5637522375942368,3.4014872042461795,0.5535875705202206,322151.7850957023,39.59724708438041,1.8452919017340683,11.3382906808206,70.68731323010051,1079,711.0254716873169,50.14941591958707,1835,1831989.8745117188,53.62673186634067,1707,3028.7573623657227,4621,1218.376832935899,63.63075527023884,2519.620151676003,721.7192762015761,0,sindy_mpc_dense,18,48.7,0.0352941930117298
5760,8.0474523791144,13.462439054547882,5.414986675433484,5.28307162466094,0.0,0.1319150507725456,546911.5865910078,58.700795829566,0.4397168359084856,0.0,68.14236111111111,1835,1548.014786720276,99.98263888888889,1,24.556427001953125,63.263888888888886,2116,4436.860649108887,3952,1806.178332367795,15.162649525619766,0.0,1523.4885277132953,0,sindy_mpc_conf_dagger,18,117.8,0.0721201104121087
3687,-1.3388111251765245,4.568485477845314,5.907296603021838,3.5386432181674694,2.223079756372469,0.1455736284819002,185594.7225374659,39.31825797963855,0.4852454282730007,7.410265854574897,64.9850827230811,1291,1211.6565284729004,84.2690534309737,580,227910.70166015625,66.09709791158123,1250,2704.4601097106934,3121,1209.7925531153633,16.73260096423192,1646.7257456400391,730.911324702723,0,sindy_mpc_dense_dagger,18,77.6,0.0609835210086456
5760,5.674665427805824,13.258010397671214,7.58334496986539,5.301286655136474,2.2819049444757336,0.0001533702531829,538606.6724053931,58.90318505707194,0.0005112341772764,7.606349814919112,55.451388888888886,2566,3640.6816778182974,100.0,0,0.0,77.41319444444444,1301,2766.3596954345703,3867,1812.40569444944,0.0176287649642103,1690.2999584103993,1663.222244358,0,sindy_mpc_confirmatory,19,97.9,0.0
5760,5.164497218387218,16.883662355813126,11.719165137425907,4.841449294845676,5.876343096246413,1.001372746333819,685898.7832049082,53.79388105384084,3.3379091544460624,19.587810320821376,65.01736111111111,2015,1663.61039352417,56.28472222222223,2518,3204848.340942383,58.00347222222222,2419,4966.186374664307,6952,1655.196339040566,115.10031563306376,4352.846738572351,1436.9191353370766,0,sindy_mpc_dense,19,81.1,0.0444633575268079
5760,5.516712424080295,12.936976424161172,7.420264000080879,5.099119588343788,2.080972096503412,0.2401723152336793,525564.6672315476,56.65688431493098,0.8005743841122644,6.936573655011373,60.364583333333336,2283,2039.9158062934875,100.0,0,0.0,64.07986111111111,2069,4172.070022583008,4352,1743.2887469347763,27.606013199139557,1541.4608129200838,1367.4259158633176,0,sindy_mpc_conf_dagger,19,133.4,0.0738738367494253
