ood,violation
2.1531248068415274,1
2.1609538675987636,1
2.177183712748382,1
2.201473526210809,1
2.2345996018898187,1
2.266151806171454,1
2.2977614488370177,1
2.328283221488637,1
2.34310439864311,1
2.269280477339818,0
2.2260966548685177,0
2.211884654605354,0
2.226107617255088,0
2.255386620259769,0
2.315653003479767,0
2.409062636248651,0
2.528396615435011,0
2.642562088566913,0
2.77669838559591,0
2.928597719277254,0
3.0920468049142014,0
3.2280075989329253,0
3.3717518023146558,0
3.5228928648843616,0
3.671871418973045,0
3.7646599063067097,0
3.865466253837594,0
3.973093801548806,0
4.069377028413773,0
4.067390050734059,0
4.075180645615881,0
4.090117139184795,0
4.112978879058579,0
4.151112606990657,0
4.206693943613161,0
4.279072217914064,0
4.344659873441726,0
4.31353546847771,0
4.302056830029245,0
4.308080564945603,0
4.314616600738472,0
4.2367740422820805,1
4.184105969339339,1
4.152544041571313,1
4.155575438274608,1
4.252107678663183,1
4.365659037762108,1
4.495486358372118,1
4.562499878505265,1
4.193586727687596,1
3.849293193908813,1
3.517168353090372,0
3.2271204169473195,0
3.0826908011992904,0
2.942111460071241,0
2.808275144156133,0
2.706475284067476,1
2.71873987657348,0
2.7387497139940304,0
2.765909541458399,0
2.792135372500361,0
2.7841441362561743,0
2.782438754453828,0
2.7846879966203906,0
2.777998637259906,0
2.7128387809722057,0
2.6521194987234042,0
2.593676427837192,0
2.536481792832377,0
2.4806980077866427,0
2.4253234267119694,1
2.370250270552904,1
2.3412681394877315,1
2.432536141628928,1
2.520970410806294,1
2.607695455019038,1
2.675072734302923,1
2.6622228263794088,1
2.6469615532635706,1
2.628001794914574,1
2.608851920890705,1
2.6006159704860012,1
2.5886935684635373,1
2.574475983422222,1
2.566942007897253,1
2.5928591523802647,1
2.617946539561427,1
2.642942057250909,1
2.6562943295739867,1
2.6183814263588263,1
2.583130311722977,1
2.5500609172158266,1
2.518230577510934,1
2.483749456880181,1
2.453413013040123,1
2.4291990325410358,1
2.4144806449822616,1
2.4185462730886154,1
2.428530780417119,1
2.4450691531158615,1
2.467205872033154,1
2.4875012027710586,1
2.5066395114050044,1
2.5236517138112107,1
2.5186239522042575,1
2.4393332318922996,0
2.377812479645817,1
2.33395288334595,1
2.317302242251807,1
2.350846301917733,1
2.406681623713071,0
2.485747514407009,0
2.584779945928807,0
2.691111051608037,0
2.8080986755035813,0
2.935637732403755,0
3.069261451363549,0
3.1932161615510357,0
3.3252891526021355,0
3.4650104399928985,0
3.5865930696384933,0
3.6264293708701887,0
3.6723908399742986,0
3.7245644629255525,0
3.7732259732532225,0
3.79417663060825,0
3.8225240704319168,0
3.857565069155365,0
3.887640279727443,0
3.891767408778505,0
3.9087056161015505,0
3.937283806993907,0
3.96252008799654,0
3.9513293975386183,0
3.952479425051039,0
3.9646503168919187,0
3.9722190754586406,0
3.940960497264946,0
3.923414603716355,1
3.918165453761839,0
3.919367847855172,0
3.9130923011945313,0
3.91758384976071,0
3.931903749878631,0
3.9430553968259123,0
3.920448247329552,1
3.9011027233741333,0
3.884849061474429,0
3.8559160919309385,0
3.786248960433792,0
3.72234633673932,0
3.664858905772775,0
3.6149065408740317,0
3.5775625292184627,0
3.546108163578911,0
3.5202071433715574,0
3.492174097158148,0
3.4469417149311017,0
3.4061305683715486,0
3.368972237332854,0
3.3421920161608956,0
3.3393413171363022,0
3.337290662054234,0
3.336350090393599,0
3.3383026728009053,0
3.3462133022000096,0
3.3532888132396703,0
3.3587811601352944,0
