t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr,step,time_h,controller
14.820688247680664,445.57763671875,85.92340850830078,6.923867702484131,0.0,400.0,0.6087614290087207,0.7933533402912352,0.9999808687840898,1.5120689578387722e-20,0.999999999990077,0.051946952502655054,0.0,0.0,10,2.5,rule_based
15.553007125854492,447.6091613769531,83.81063079833984,6.74874210357666,0.0,400.0,0.6593458151000688,0.7518398074789774,0.9999918075202007,7.796879527125181e-12,0.999999380353451,0.0011169145082034553,0.0,0.0,11,2.75,rule_based
16.47987937927246,453.24444580078125,82.63721466064453,6.573616027832031,0.0,400.0,0.7071067811865476,0.7071067811865476,0.9999778270654772,0.0025059249749039367,0.9657262311057718,0.00012873901451705848,0.0,0.0,12,3.0,rule_based
16.840566635131836,459.8606262207031,82.07207489013672,6.3984904289245605,0.00030608384986408055,400.0,0.7518398074789774,0.6593458151000688,0.9999996737909698,0.9999986477939139,0.000491716780818329,4.5461117922769454e-05,0.0,0.0,13,3.25,rule_based
15.69808292388916,849.9602661132812,84.2265625,6.223364353179932,0.7009345889091492,400.0,0.7933533402912352,0.6087614290087207,0.999999999999938,0.00010035690929158472,6.412760384955019e-07,6.19914120036924e-10,0.0,0.0,14,3.5,rule_based
15.5934476852417,846.763671875,84.24652099609375,6.048238754272461,1.3958783149719238,400.0,0.8314696123025451,0.5555702330196024,0.9999999999999762,0.0001347078224080844,3.2177116936426757e-06,2.3647839242357804e-10,0.0,0.0,15,3.75,rule_based
15.656140327453613,844.6036987304688,84.34173583984375,5.873112678527832,2.0908219814300537,400.0,0.8660254037844386,0.5000000000000001,0.9999999999999578,0.00016435421104948834,1.583729701907657e-05,4.2126990784652207e-10,0.0,0.0,16,4.0,rule_based
15.776022911071777,842.9299926757812,84.49288940429688,5.700078010559082,2.803941488265991,400.0,0.8968727415326884,0.44228869021900125,0.999999999999873,0.00019174198698910833,6.238910005372851e-06,1.270838545508468e-09,0.0,0.0,17,4.25,rule_based
15.9330415725708,837.9532470703125,85.56551361083984,5.801222324371338,18.242271423339844,400.0,0.9238795325112867,0.38268343236508984,0.9999999999994602,0.00030320634425190225,2.482120090173145e-06,5.397160940390222e-09,0.0,0.0,18,4.5,rule_based
16.214418411254883,830.1151733398438,85.59656524658203,5.901294231414795,33.53103256225586,400.0,0.9469301294951056,0.3214394653031617,0.9999999999927944,0.0006239104844467764,9.874972069858183e-07,7.205656749054157e-08,0.0,0.0,19,4.75,rule_based
16.52033042907715,819.3292846679688,85.49030303955078,6.001366138458252,48.819793701171875,400.0,0.9659258262890683,0.25881904510252074,0.9999999998794062,0.0016830445816208787,3.887162791581459e-07,1.2059352260118672e-06,0.0,0.0,20,5.0,rule_based
16.838457107543945,806.0018920898438,85.36809539794922,6.1025919914245605,64.04925537109375,400.0,0.9807852804032304,0.19509032201612833,0.999999997741472,0.005720505675442681,9.458988814957246e-09,2.2584770985045743e-05,0.0,0.0,21,5.25,rule_based
17.476913452148438,792.9440307617188,85.40155792236328,6.506038665771484,73.05296325683594,400.0,0.9914448613738104,0.1305261922200517,0.999999191554494,0.018793162632031846,2.36970597898994e-10,0.008019627228193604,0.0,0.0,22,5.5,rule_based
18.024307250976562,766.0701293945312,85.62446594238281,6.9063262939453125,82.08722686767578,400.0,0.9978589232386035,0.06540312923014327,0.9998749238556267,0.18541082470097117,5.936687828036457e-12,0.030624426196888082,0.0,0.0,23,5.75,rule_based
18.08941078186035,755.6453247070312,85.62301635742188,7.306613922119141,91.12149810791016,400.0,1.0,6.123233995736766e-17,0.9997722043878245,0.3728636436006405,1.5325571791305813e-13,0.030545113415887414,0.0,0.0,24,6.0,rule_based
18.593942642211914,811.1869506835938,85.43267822265625,7.703645706176758,100.27169799804688,400.0,0.9978589232386035,-0.06540312923014314,0.9767955303086792,0.0035561023807974285,3.88343813549597e-14,0.02170776819832729,0.0,0.0,25,6.25,rule_based
