step,time_h,controller,solver_failures,t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr
13,3.25,physics_sindy_mpc,0,16.182607650756836,736.3834838867188,83.49140930175781,6.3984904289245605,0.00030608384986408055,400.0,0.7518398074789774,0.6593458151000688,0.7056565186922238,0.1451044481476809,1.0,0.10285243219362833,0.0,1.0
14,3.5,physics_sindy_mpc,0,16.187463760375977,736.7506713867188,83.45134735107422,6.223364353179932,0.7009345889091492,400.0,0.7933533402912352,0.6087614290087207,0.7131799909496596,0.14330559978520127,1.0,0.09809931065841478,0.0,1.0
15,3.75,physics_sindy_mpc,0,16.209884643554688,737.7562866210938,83.42463684082031,6.048238754272461,1.3958783149719238,400.0,0.8314696123025451,0.5555702330196024,0.7196096231478939,0.14079057489062066,1.0,0.09416048389462812,0.0,1.0
16,4.0,physics_sindy_mpc,0,16.243892669677734,738.93359375,83.38773345947266,5.873112678527832,2.0908219814300537,400.0,0.8660254037844386,0.5000000000000001,0.7151894444810248,0.13859767875053317,1.0,0.0911880188172513,0.0,1.0
17,4.25,physics_sindy_mpc,0,16.277036666870117,740.2501220703125,83.373779296875,5.700078010559082,2.803941488265991,400.0,0.8968727415326884,0.44228869021900125,0.6880469204862812,0.1430917158435683,1.0,0.0943250702403511,0.0,1.0
18,4.5,physics_sindy_mpc,0,16.347049713134766,743.3128662109375,83.65484619140625,5.801222324371338,18.242271423339844,400.0,0.9238795325112867,0.38268343236508984,0.6472462161292905,0.16727520249258154,1.0,0.1249804661875428,0.0,1.0
19,4.75,physics_sindy_mpc,0,16.32170867919922,750.2365112304688,84.05696105957031,5.901294231414795,33.53103256225586,400.0,0.9469301294951056,0.3214394653031617,0.6188046120965799,0.18515304066357616,1.0,0.15922767987916842,0.0,1.0
20,5.0,physics_sindy_mpc,0,16.25761604309082,758.55859375,84.39852142333984,6.001366138458252,48.819793701171875,400.0,0.9659258262890683,0.25881904510252074,0.584729433038324,0.19625663414575362,1.0,0.19214370859118254,0.0,1.0
21,5.25,physics_sindy_mpc,0,16.188337326049805,766.7141723632812,84.73619079589844,6.1025919914245605,64.04925537109375,400.0,0.9807852804032304,0.19509032201612833,0.5512164644590711,0.2081664892006452,1.0,0.22556228295918812,0.0,1.0
22,5.5,physics_sindy_mpc,0,16.286069869995117,776.5097045898438,84.84355163574219,6.506038665771484,73.05296325683594,400.0,0.9914448613738104,0.1305261922200517,0.4702858217162621,0.21804173061140378,1.0,0.25736023060417795,0.0,1.0
23,5.75,physics_sindy_mpc,0,16.411718368530273,787.01611328125,85.25253295898438,6.9063262939453125,82.08722686767578,400.0,0.9978589232386035,0.06540312923014327,0.4057494126660005,0.23434042387178367,1.0,0.2979389488155314,0.0,1.0
24,6.0,physics_sindy_mpc,0,16.499826431274414,800.008544921875,85.87861633300781,7.306613922119141,91.12149810791016,400.0,1.0,6.123233995736766e-17,0.3731237374649211,0.2496782542732561,1.0,0.3448058708195256,0.0,1.0
25,6.25,physics_sindy_mpc,0,16.584121704101562,815.14990234375,86.49748992919922,7.703645706176758,100.27169799804688,400.0,0.9978589232386035,-0.06540312923014314,0.35282539678955427,0.2605200673172266,1.0,0.389627854742065,0.0,1.0
