steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,secs
5760,-2.970288139225753,11.573959929494851,14.544248068720604,4.314253581195043,4.412736453635487,5.817258033890075,470192.1221357284,47.93615090216715,19.39086011296692,14.70912151211829,45.24305555555556,3154,5864.744111537933,76.09375,1377,1534590.142578125,62.17013888888889,2179,4115.744171142578,6710,1474.9584891803252,668.6503487021389,3268.69366811729,1459.890061296178,0,sindy_mpc,0,212.7
5760,2.7153644578388336,12.188642256327658,9.473277798488825,4.658002375889025,4.280967434753501,0.5343079878462975,495163.5916633111,51.75558195432251,1.781026626154325,14.269891449178338,63.55902777777778,2099,2331.105031967163,74.09722222222223,1492,1355482.8939208984,55.607638888888886,2557,6255.025611877441,6148,1592.479443996211,61.414711231294206,3171.0869894180337,1507.610522083619,0,grey_box_mpc,0,167.4
5760,-4.718817747178811,10.893686162284688,15.6125039094635,4.248749935637227,4.791434926467046,6.572319047359224,442556.0003428155,47.20833261819142,21.907730157864084,15.971449754890154,38.59375,3537,7015.310811042786,72.58680555555556,1579,1946459.4443359373,66.19791666666667,1947,3232.783672332764,7063,1452.564079983462,755.4389709030211,3549.21105600783,1552.217003017696,0,sindy_mpc,1,212.9
5760,3.579753207526616,13.670132622863058,10.090379415336445,5.125342751921793,4.867367941397237,0.0976687220174114,555349.1378038117,56.94825279913103,0.3255624067247048,16.22455980465746,63.76736111111111,2087,2609.0529279708862,73.48958333333333,1527,561810.8986816406,65.36458333333334,1995,4147.614959716797,5609,1752.2539318053373,11.22628991303199,3605.4577332548415,1481.248636736534,0,grey_box_mpc,1,158.7
5760,-2.142281764902226,12.307369281165666,14.44965104606789,4.695630876432912,2.5212288614911684,7.232791308143811,499986.8770473552,52.17367640481014,24.10930436047937,8.404096204970562,49.07986111111112,2933,4375.846044540405,100.0,0,0.0,66.19791666666667,1947,3987.432048797608,4880,1605.3438884923337,831.355322789229,1867.5769337334095,1510.1236666262505,0,sindy_mpc,2,210.3
5760,4.648146556983754,15.37340027144753,10.725253714463776,4.928080505477043,5.410743928800017,0.3864292801867162,624544.3860275559,54.75645006085603,1.2880976006223874,18.03581309600006,61.28472222222222,2230,1932.238045692444,65.39930555555556,1993,2507777.4134521484,62.62152777777777,2153,4344.815727233887,6376,1684.8138485378047,44.41715851232696,4007.958464538234,1422.8982079154564,0,grey_box_mpc,2,165.1
5760,1.9310390752941256,14.633871906962389,12.70283283166826,4.441200359559737,2.522949541860756,5.738682930247767,594501.0462203469,49.34667066177486,19.12894310082589,8.40983180620252,46.40625,3087,4811.6880469322205,100.0,0,0.0,64.44444444444444,2048,4368.615783691406,5135,1518.3590967620871,659.6187274314684,1868.8515126496843,1468.125097056679,0,sindy_mpc,3,210.1
5760,5.127702483446843,13.673662051956136,8.545959568509293,4.753506097037006,3.708773663741836,0.0836798077304514,555492.520860718,52.81673441152229,0.2789326924348381,12.362578879139452,54.46180555555556,2623,3269.9347171783447,95.43402777777776,263,68391.01220703125,70.22569444444444,1715,3066.205780029297,4601,1625.1302881208644,9.618368699958513,2747.239750145438,1484.4588118454612,0,grey_box_mpc,3,169.4
5760,-0.7239933117789845,8.954469583895516,9.6784628956745,4.067541913238426,5.418314191203271,0.1926067912328057,363775.3268457554,45.19491014709362,0.6420226374426857,18.061047304010906,42.70833333333333,3300,7308.216745376587,56.56250000000001,2502,3350964.2181396484,56.94444444444444,2480,5387.649814605713,8282,1390.612620162063,22.138711513005298,4013.5660667327056,1450.2676952307615,0,sindy_mpc,4,233.9
5760,4.464561047029986,15.677082528354358,11.212521481324377,4.759994604020148,5.903480324601235,0.5490465527029906,636881.4777143958,52.88882893355721,1.8301551756766357,19.678267748670784,63.99305555555556,2074,1664.1321911811829,54.0625,2646,3207793.441772461,59.18402777777778,2351,4759.849002838135,7071,1627.348583019737,63.10879928696982,4372.948387866637,1388.5799655134704,0,grey_box_mpc,4,164.2
