steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,test_year,secs
5760,-6.324522601339451,16.464216794865372,22.788739396204825,8.660264330912575,2.5408521557657293,11.58762290952652,668858.8072914057,96.22515923236196,38.62540969842173,8.469507185885766,76.70138888888889,1342,2059.760468482971,100.0,0,0.0,53.81944444444444,2660,6161.805450439453,4002,2960.7741295805054,1331.910679075228,1882.1127082506316,755.6528708444284,9,oracle_mpc,11,2021,4043.6
5211,-0.6995333403683679,14.93978851863736,15.639321859005726,7.65122271787503,2.22760062734544,5.760498513785256,606928.9085696427,85.01358575416701,19.20166171261752,7.4253354244848,75.97390136250239,1252,1974.0677947998047,99.9808098253694,1,4.555084228515625,64.22951448858186,1864,4078.0525512695312,3117,2615.8026377537567,662.1262666654994,1650.0745393270754,689.1593117922988,10,oracle_mpc,11,2022,3733.0
5760,-3.7206598973501,16.123823057565986,19.844482954916085,7.629830833102178,2.7768725459770462,9.437779575836862,655030.3117136182,84.77589814557976,31.45926525278954,9.256241819923488,80.67708333333333,1113,1577.5673294067385,100.0,0,0.0,54.35763888888889,2629,6781.517635345459,3742,2608.48917415849,1084.8022496325889,2056.942625884194,842.3762966301199,7,oracle_mpc,11,2023,3896.7
4643,1.8663588091867855,14.448607406526753,12.582248597339962,6.505469273056274,2.047738821166297,4.029040503117392,586974.6758901492,72.2829919228475,13.430135010391306,6.825796070554324,72.32392849450787,1285,2152.9170360565186,100.0,0,0.0,69.97630842127934,1394,3319.9837532043457,2679,2224.092058866787,463.10810378649455,1516.8435705642364,580.823439745116,10,oracle_mpc,12,2020,3448.1
5760,-6.501564998978011,16.443308670873808,22.944873669851823,8.710503881092418,2.522782857377917,11.711586931381486,668009.4147542485,96.78337645658242,39.03862310460496,8.409276191259723,75.13888888888889,1432,2361.3965559005737,100.0,0,0.0,54.30555555555555,2632,6184.539840698242,4064,2977.9500441771,1346.1594173060028,1868.728042213002,770.5887365945998,7,oracle_mpc,12,2021,4092.9
5211,-0.5730759227796958,14.961416999673336,15.534492922453031,7.628302422910529,2.214801778383628,5.691388721158875,607807.5656117293,84.758915810117,18.97129573719625,7.382672594612094,76.56879677605066,1221,2037.159068107605,100.0,0,0.0,64.76683937823834,1836,4076.88510131836,3057,2607.9666398001773,654.1826122278474,1640.593910086325,682.3972848337268,10,oracle_mpc,12,2022,3780.9
5760,-3.7343712907692073,16.08332756423883,19.81769885500804,7.633349304780181,2.781555443911186,9.402794106316671,653385.1822972025,84.81499227533536,31.342647021055576,9.271851479703956,79.56597222222223,1177,1709.0318250656128,100.0,0,0.0,54.34027777777778,2630,6732.622932434082,3807,2609.692069868556,1080.780932364185,2060.411440578374,851.9097746041401,9,oracle_mpc,12,2023,3930.4
5597,2.479150598409283,17.255951617394913,14.77680101898563,7.654456798372056,2.514504525884649,4.607839694728922,701023.0344566683,85.04951998191174,15.359465649096409,8.38168175294883,73.968197248526,1457,2436.155415534973,100.0,0,0.0,69.1441843844917,1727,4047.222961425781,3184,2616.9083057693724,529.6367468004333,1862.5959460195809,715.5515034782582,10,oracle_mpc,13,2020,3888.5
5760,-6.413529371992473,16.436450315580753,22.849979687573224,8.73650380409263,2.50741370195552,11.606062181525076,667730.7940704682,97.07226448991813,38.68687393841692,8.358045673185067,75.67708333333333,1401,2181.679671764374,100.0,0,0.0,54.114583333333336,2643,5969.285865783691,4044,2986.838908603381,1334.0301365440437,1857.3434846150471,760.961597348339,8,oracle_mpc,13,2021,3841.8
5212,-0.5562355966896542,14.958617864531735,15.51485346122139,7.622761243223426,2.186645897700985,5.7054463202969785,607693.8507466018,84.69734714692696,19.01815440098993,7.288819659003284,77.91634689178818,1151,1765.7968168258667,100.0,0,0.0,65.08058326937835,1820,4134.789585113525,2971,2606.072218232235,655.7984277989452,1619.7377011820345,671.6712886641876,10,oracle_mpc,13,2022,3542.5
5760,-3.738876317717367,16.119623842504566,19.858500160221933,7.594146089072409,2.761675750353177,9.502678320796347,654859.718601748,84.37940098969344,31.675594402654493,9.205585834510591,79.77430555555556,1165,1693.2519550323486,100.0,0,0.0,53.57638888888889,2674,6975.215320587158,3839,2596.2892613086046,1092.261876200252,2045.6857397262663,843.9973125986018,7,oracle_mpc,13,2023,3671.6
3779,1.28080929085522,11.77488444233835,10.49407515148313,5.397391727757319,1.5985860907782743,3.4980973329475367,478354.6804699955,59.97101919730355,11.660324443158457,5.328620302594248,70.78592220164064,1104,1997.8926858901975,100.0,0,0.0,69.80682720296375,1141,2823.151924133301,2245,1845.2621276818988,402.0801529062662,1184.1378451872342,464.0043250950487,10,oracle_mpc,14,2020,2985.9
