block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,physics/d2/ensemble/savgol,0,physics,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,5,42.0157778316689,5.693214079921422,0.0,3.0234580380981018,,False,107.2
ladder,physics/d2/ensemble/kalman,0,physics,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.18944429117802,5.930635351736146,0.0,3.026409490224078,,False,105.9
ladder,physics_no_cross/d1/stlsq/none,0,physics_no_cross,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,27,24.68652035134876,9.263857458963292,0.016666666666666666,1.6746881969358403,,True,2.9
ladder,physics_no_cross/d1/stlsq/savgol,0,physics_no_cross,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,5.762135332062457,0.0,3.0243782536877073,,True,3.0
ladder,physics_no_cross/d1/stlsq/kalman,0,physics_no_cross,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,5.974681188940015,0.0,3.026896713813973,,True,3.5
ladder,physics_no_cross/d1/sr3/none,0,physics_no_cross,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,9,24.68652035134876,11.770125692002281,0.016666666666666666,2.7816919613722875,,True,2.9
ladder,physics_no_cross/d1/sr3/savgol,0,physics_no_cross,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,5.769261536102411,0.0,3.0244701496942077,,True,2.9
ladder,physics_no_cross/d1/sr3/kalman,0,physics_no_cross,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,7.951031953889141,0.0,3.040255333080059,,True,3.7
ladder,physics_no_cross/d1/constrained/none,0,physics_no_cross,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,9,24.68652035134876,11.770125692002281,0.016666666666666666,2.7816919613722875,,True,2.9
ladder,physics_no_cross/d1/constrained/savgol,0,physics_no_cross,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,5.769261536102411,0.0,3.0244701496942077,,True,3.0
ladder,physics_no_cross/d1/constrained/kalman,0,physics_no_cross,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,7.951031953889141,0.0,3.040255333080059,,True,3.8
ladder,physics_no_cross/d1/ensemble/none,0,physics_no_cross,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,27,24.68652035134876,10.877606535455158,0.016666666666666666,1.6754478859081696,,True,3.4
ladder,physics_no_cross/d1/ensemble/savgol,0,physics_no_cross,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,5.784217279685515,0.0,3.0246611384229602,,True,3.4
ladder,physics_no_cross/d1/ensemble/kalman,0,physics_no_cross,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,5.971807564413485,0.0,3.026865417349627,,True,3.9
ladder,physics_no_cross/d2/stlsq/none,0,physics_no_cross,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,91,24.68652035134876,11.73054116514485,0.016666666666666666,1.0373861356477576,,False,18.6
ladder,physics_no_cross/d2/stlsq/savgol,0,physics_no_cross,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,5.762135332062457,0.0,3.0243782536877073,,False,18.9
ladder,physics_no_cross/d2/stlsq/kalman,0,physics_no_cross,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,5.974681188940015,0.0,3.026896713813973,,False,20.5
ladder,physics_no_cross/d2/sr3/none,0,physics_no_cross,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,42,24.68652035134876,216.66377206149545,0.25,2.760186477144847,,False,14.2
ladder,physics_no_cross/d2/sr3/savgol,0,physics_no_cross,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,6.643297068577855,0.0,3.0328116581237494,,False,17.9
ladder,physics_no_cross/d2/sr3/kalman,0,physics_no_cross,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,7.6999971420858175,0.0,3.0390723247511846,,False,18.3
ladder,physics_no_cross/d2/constrained/none,0,physics_no_cross,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,42,24.68652035134876,216.66377206149545,0.25,2.760186477144847,,False,13.9
ladder,physics_no_cross/d2/constrained/savgol,0,physics_no_cross,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,6.643297068577855,0.0,3.0328116581237494,,False,17.4
ladder,physics_no_cross/d2/constrained/kalman,0,physics_no_cross,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,7.6999971420858175,0.0,3.0390723247511846,,False,18.2
ladder,physics_no_cross/d2/ensemble/none,0,physics_no_cross,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,97,24.68652035134876,473.801905019786,0.21666666666666667,1.9414899815616535,,False,46.5
ladder,physics_no_cross/d2/ensemble/savgol,0,physics_no_cross,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.740814466712871,5.762670989954249,0.0,3.024385181551081,,False,43.9
ladder,physics_no_cross/d2/ensemble/kalman,0,physics_no_cross,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,14.679817613151776,5.981950920103237,0.0,3.026975590106427,,False,47.0
ladder,raw/d1/stlsq/none,1,raw,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,20,8.32444884451497,2.858070482796288,0.0,1.9204771224957147,,True,2.6
ladder,raw/d1/stlsq/savgol,1,raw,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,5.444343935390985,0.0,3.1773224319009903,,True,2.7
ladder,raw/d1/stlsq/kalman,1,raw,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,5.615952138169538,0.0,3.179944193716516,,True,3.4
ladder,raw/d1/sr3/none,1,raw,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,6,8.32444884451497,4.548507968548526,0.0,2.4786600671650603,,True,2.8
ladder,raw/d1/sr3/savgol,1,raw,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,4.990698008722712,0.0,3.166299060365416,,True,2.6
ladder,raw/d1/sr3/kalman,1,raw,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,6.144321031005162,0.0,3.185899362367757,,True,3.4
ladder,raw/d1/constrained/none,1,raw,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,6,8.32444884451497,4.548507968548526,0.0,2.4786600671650603,,True,2.7
ladder,raw/d1/constrained/savgol,1,raw,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,4.990698008722712,0.0,3.166299060365416,,True,2.8
ladder,raw/d1/constrained/kalman,1,raw,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,6.144321031005162,0.0,3.185899362367757,,True,3.2
ladder,raw/d1/ensemble/none,1,raw,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,20,8.32444884451497,2.9157727735559384,0.0,1.9216626611605194,,True,3.1
ladder,raw/d1/ensemble/savgol,1,raw,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,5.4404050087673195,0.0,3.17725615598178,,True,3.0
ladder,raw/d1/ensemble/kalman,1,raw,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,5.604829439515165,0.0,3.1797882046720085,,True,3.6
ladder,raw/d2/stlsq/none,1,raw,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,49,8.32444884451497,2.280466852634777,0.0,1.152546745821055,,False,13.9
ladder,raw/d2/stlsq/savgol,1,raw,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,5.444343935390985,0.0,3.1773224319009903,,False,13.0
ladder,raw/d2/stlsq/kalman,1,raw,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,5.615952138169538,0.0,3.179944193716516,,False,13.1
ladder,raw/d2/sr3/none,1,raw,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,7,8.32444884451497,4.857430346512313,0.0,2.4327167464395156,,False,11.9
ladder,raw/d2/sr3/savgol,1,raw,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,4.951157531811241,0.0,3.1647449330870936,,False,11.9
ladder,raw/d2/sr3/kalman,1,raw,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,5.387144581605616,0.0,3.176328269908373,,False,12.4
