block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,physics/d1/ensemble/kalman,3,physics,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,5.591989796756545,0.0,2.950755605913597,,True,4.6
ladder,physics/d2/stlsq/none,3,physics,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,251,53.56973737447831,38.15756871017526,0.03333333333333333,0.9765076957033219,,False,33.5
ladder,physics/d2/stlsq/savgol,3,physics,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,7,44.78358889933732,5.410270299485398,0.0,2.9480233758119367,,False,32.8
ladder,physics/d2/stlsq/kalman,3,physics,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,5.573629528206584,0.0,2.950503556249535,,False,33.0
ladder,physics/d2/sr3/none,3,physics,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,122,53.56973737447831,2535.208681611597,0.5666666666666667,4.2515285872123805,,False,12.2
ladder,physics/d2/sr3/savgol,3,physics,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,44.78358889933732,5.162751871564685,0.0,2.943085714177767,,False,30.5
ladder,physics/d2/sr3/kalman,3,physics,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,6.189036769579904,0.0,2.95711924144835,,False,28.8
ladder,physics/d2/constrained/none,3,physics,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,122,53.56973737447831,2535.208681611597,0.5666666666666667,4.2515285872123805,,False,11.2
ladder,physics/d2/constrained/savgol,3,physics,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,44.78358889933732,5.162751871564685,0.0,2.943085714177767,,False,27.0
ladder,physics/d2/constrained/kalman,3,physics,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,6.189036769579904,0.0,2.95711924144835,,False,30.8
ladder,physics/d2/ensemble/none,3,physics,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,255,53.56973737447831,4429.192307575985,0.7,8.01817586073196,,False,131.6
ladder,physics/d2/ensemble/savgol,3,physics,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,11,44.78358889933732,5.390031964254113,0.0,2.947681456586899,,False,105.0
ladder,physics/d2/ensemble/kalman,3,physics,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,43.10445424627731,5.5697787170310695,0.0,2.950450086491473,,False,98.1
ladder,physics_no_cross/d1/stlsq/none,3,physics_no_cross,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,31,24.53239553288942,9.42538404746786,0.016666666666666666,1.7230603227376127,,True,3.2
ladder,physics_no_cross/d1/stlsq/savgol,3,physics_no_cross,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,5.410270299485398,0.0,2.9480233758119367,,True,3.3
ladder,physics_no_cross/d1/stlsq/kalman,3,physics_no_cross,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,5.573629528206584,0.0,2.950503556249535,,True,3.9
ladder,physics_no_cross/d1/sr3/none,3,physics_no_cross,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,9,24.53239553288942,4.013356454053817,0.0,2.6503956643276747,,True,3.4
ladder,physics_no_cross/d1/sr3/savgol,3,physics_no_cross,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,5.058012485178608,0.0,2.9402898122780874,,True,3.5
ladder,physics_no_cross/d1/sr3/kalman,3,physics_no_cross,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,6.181721342031994,0.0,2.957056693477466,,True,4.1
ladder,physics_no_cross/d1/constrained/none,3,physics_no_cross,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,9,24.53239553288942,4.013356454053817,0.0,2.6503956643276747,,True,3.3
ladder,physics_no_cross/d1/constrained/savgol,3,physics_no_cross,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,5.058012485178608,0.0,2.9402898122780874,,True,3.5
ladder,physics_no_cross/d1/constrained/kalman,3,physics_no_cross,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,6.181721342031994,0.0,2.957056693477466,,True,4.3
ladder,physics_no_cross/d1/ensemble/none,3,physics_no_cross,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,31,24.53239553288942,8.936002897387706,0.016666666666666666,1.72314734952168,,True,4.1
ladder,physics_no_cross/d1/ensemble/savgol,3,physics_no_cross,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,5.402708701807667,0.0,2.9478966471097947,,True,3.9
ladder,physics_no_cross/d1/ensemble/kalman,3,physics_no_cross,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,5.533086230275703,0.0,2.949929612837149,,True,4.5
ladder,physics_no_cross/d2/stlsq/none,3,physics_no_cross,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,114,24.53239553288942,11.487470362212973,0.016666666666666666,1.037932076004067,,False,20.6
ladder,physics_no_cross/d2/stlsq/savgol,3,physics_no_cross,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,5.410270299485398,0.0,2.9480233758119367,,False,20.7
ladder,physics_no_cross/d2/stlsq/kalman,3,physics_no_cross,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,5.573629528206584,0.0,2.950503556249535,,False,22.2
ladder,physics_no_cross/d2/sr3/none,3,physics_no_cross,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,42,24.53239553288942,7.589812766168079,0.0,3.1842389305031706,,False,20.0
ladder,physics_no_cross/d2/sr3/savgol,3,physics_no_cross,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,4.984944578072857,0.0,2.937933312068259,,False,21.7
ladder,physics_no_cross/d2/sr3/kalman,3,physics_no_cross,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,5.951989648438234,0.0,2.9549334162040135,,False,21.2
ladder,physics_no_cross/d2/constrained/none,3,physics_no_cross,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,42,24.53239553288942,7.589812766168079,0.0,3.1842389305031706,,False,22.4
ladder,physics_no_cross/d2/constrained/savgol,3,physics_no_cross,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,4.984944578072857,0.0,2.937933312068259,,False,19.9
ladder,physics_no_cross/d2/constrained/kalman,3,physics_no_cross,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,5.951989648438234,0.0,2.9549334162040135,,False,20.8
ladder,physics_no_cross/d2/ensemble/none,3,physics_no_cross,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,104,24.53239553288942,2.8414660781843133,0.0,1.6838481237169096,,False,57.7
ladder,physics_no_cross/d2/ensemble/savgol,3,physics_no_cross,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.113589080320454,5.419411076068536,0.0,2.948174983181663,,False,47.3
ladder,physics_no_cross/d2/ensemble/kalman,3,physics_no_cross,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.121290893501671,5.5867267839486185,0.0,2.950683837823267,,False,48.1
ladder,raw/d1/stlsq/none,4,raw,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,19,7.909942070909357,2.549188084002863,0.0,1.897476325493087,,True,3.1
ladder,raw/d1/stlsq/savgol,4,raw,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,5.453183202459823,0.0,3.0830587095138906,,True,3.3
ladder,raw/d1/stlsq/kalman,4,raw,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.674000981932252,0.0,3.0857418988240153,,True,3.9
ladder,raw/d1/sr3/none,4,raw,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,6,7.909942070909357,4.240669871138201,0.0,2.392568847954839,,True,3.2
ladder,raw/d1/sr3/savgol,4,raw,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,4.676307947924739,0.0,3.061766108862948,,True,3.1
ladder,raw/d1/sr3/kalman,4,raw,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.399617108774896,0.0,3.08231960920606,,True,4.1
ladder,raw/d1/constrained/none,4,raw,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,6,7.909942070909357,4.240669871138201,0.0,2.392568847954839,,True,3.3
ladder,raw/d1/constrained/savgol,4,raw,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,4.676307947924739,0.0,3.061766108862948,,True,3.3
ladder,raw/d1/constrained/kalman,4,raw,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.399617108774896,0.0,3.08231960920606,,True,4.1
ladder,raw/d1/ensemble/none,4,raw,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,19,7.909942070909357,2.554342012415378,0.0,1.8975725192411543,,True,3.6
ladder,raw/d1/ensemble/savgol,4,raw,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,5.443568490714813,0.0,3.0829289106282656,,True,3.5
ladder,raw/d1/ensemble/kalman,4,raw,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.661269752513307,0.0,3.085600728483976,,True,4.1
