step,time_h,controller,solver_failures,t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr
10,2.5,physics_sindy_mpc,0,16.499805450439453,735.7002563476562,82.51011657714844,4.224514961242676,0.0,400.0,0.6087614290087207,0.7933533402912352,0.8129428287403253,0.05298177106315807,1.0,0.01361183423548662,0.0,1.0
11,2.75,physics_sindy_mpc,0,16.509851455688477,728.9231567382812,82.48062896728516,4.149460792541504,0.0,400.0,0.6593458151000688,0.7518398074789774,0.8091481014302232,0.07255627689262271,1.0,0.013273284582632147,0.0,1.0
12,3.0,physics_sindy_mpc,0,16.566001892089844,730.4750366210938,82.31151580810547,4.07440710067749,0.0,400.0,0.7071067811865476,0.7071067811865476,0.7846449597846755,0.0702620497010979,1.0,0.012267042250966156,0.0,1.0
13,3.25,physics_sindy_mpc,0,16.62428855895996,733.2449340820312,82.26675415039062,3.999115228652954,0.0,400.0,0.7518398074789774,0.6593458151000688,0.7684761197064661,0.06665678083909782,1.0,0.013532779726368563,0.0,1.0
14,3.5,physics_sindy_mpc,0,16.61281967163086,733.7284545898438,82.36042785644531,3.8485982418060303,0.0,400.0,0.7933533402912352,0.6087614290087207,0.7802750040262363,0.06767224478974455,1.0,0.012756228893134748,0.0,1.0
15,3.75,physics_sindy_mpc,0,16.604299545288086,735.7193603515625,82.36774444580078,3.6984903812408447,0.0,400.0,0.8314696123025451,0.5555702330196024,0.7916905683552856,0.06291060237441604,1.0,0.009569526486597486,0.0,1.0
16,4.0,physics_sindy_mpc,0,16.637609481811523,739.976806640625,82.30095672607422,3.548382520675659,0.0,400.0,0.8660254037844386,0.5000000000000001,0.789598259934268,0.05228713053542816,1.0,0.006621396528087077,0.0,1.0
17,4.25,physics_sindy_mpc,0,16.687625885009766,744.7388916015625,82.26592254638672,3.400038957595825,0.0,400.0,0.8968727415326884,0.44228869021900125,0.779408416957217,0.043160510320332815,1.0,0.00631748911459984,0.0,1.0
18,4.5,physics_sindy_mpc,0,16.72812271118164,747.0653076171875,82.29838562011719,3.450611114501953,0.0,400.0,0.9238795325112867,0.38268343236508984,0.7661719716733488,0.0449350504748775,1.0,0.011044000077640066,0.0,1.0
19,4.75,physics_sindy_mpc,0,16.692636489868164,744.0006103515625,82.40235137939453,3.5006470680236816,0.0,400.0,0.9469301294951056,0.3214394653031617,0.769248817885927,0.0591785213277601,1.0,0.014197573100563105,0.0,1.0
20,5.0,physics_sindy_mpc,0,16.646108627319336,742.1038208007812,82.4121322631836,3.55068302154541,0.0,400.0,0.9659258262890683,0.25881904510252074,0.7693880379630639,0.06850561020935277,1.0,0.014771500156606682,0.0,1.0
21,5.25,physics_sindy_mpc,0,16.625505447387695,742.8375244140625,82.37229919433594,3.600998878479004,0.000842801877297461,400.0,0.9807852804032304,0.19509032201612833,0.7597255340048336,0.07158996107684881,1.0,0.01570271897145279,0.0,1.0
22,5.5,physics_sindy_mpc,0,16.638864517211914,744.4598388671875,82.38005065917969,3.701509714126587,0.7049285173416138,400.0,0.9914448613738104,0.1305261922200517,0.7457630236721426,0.07594519170792381,1.0,0.020423782546387763,0.0,1.0
23,5.75,physics_sindy_mpc,0,16.62036895751953,744.1270141601562,82.49420928955078,3.801581621170044,1.3998721837997437,400.0,0.9978589232386035,0.06540312923014327,0.7453134329822998,0.08617539418007661,1.0,0.025974417168266883,0.0,1.0
24,6.0,physics_sindy_mpc,0,16.587289810180664,743.9030151367188,82.5882339477539,3.901653528213501,2.094815969467163,400.0,1.0,6.123233995736766e-17,0.7474597534400158,0.09542895026656274,1.0,0.030332221094685287,0.0,1.0
25,6.25,physics_sindy_mpc,0,16.568452835083008,744.8638305664062,82.63362884521484,4.0011210441589355,2.8262176513671875,400.0,0.9978589232386035,-0.06540312923014314,0.7382387377206341,0.10508093984062639,1.0,0.03645166071105975,0.0,1.0
26,6.5,physics_sindy_mpc,0,16.510839462280273,744.5835571289062,82.92198181152344,4.050898551940918,19.037063598632812,400.0,0.9914448613738104,-0.1305261922200516,0.743954315757752,0.1315585103470976,1.0,0.05708796784932573,0.0,1.0
