method,budget_days,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,nonzero_coefficients,total_coefficients,sparsity,condition_number
raw_quadratic,30,rollout,96,co2,97.18812886244278,75.08617074317297,,0.0,20.0,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,96,rh,4.368515315957669,3.3498779892664055,,0.0,20.0,90,360,0.75,6.785033584184533
physics_no_cross,30,one_step,1,t_in,1.597811123913908,1.190659998205026,0.7226873176231243,,,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,one_step,1,co2,82.99091217648373,64.19406192379915,0.7770667231868166,,,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,one_step,1,rh,3.9189132627440837,2.7079794403440127,0.6444325728055286,,,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,4,t_in,2.064438454920452,1.545725631708947,,0.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,4,co2,96.66945286536547,77.75871959282985,,0.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,4,rh,4.32780797025587,3.293901113680912,,0.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,20,t_in,2.0941997702491584,1.6098906885699944,,0.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,20,co2,150.1452832460463,111.63779778303783,,0.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,20,rh,5.023691757900928,3.7805547294340847,,0.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,96,t_in,9.161800686920214,1.9148315786534058,,1.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,96,co2,508.99480137777203,142.56285751544087,,1.0,20.0,36,54,0.33333333333333337,27.98515449223549
physics_no_cross,30,rollout,96,rh,42.804508891037685,6.185074481870278,,1.0,20.0,36,54,0.33333333333333337,27.98515449223549
