steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,method,draw,seed,test_year,xi_uboil,n_draws_declared,secs,regen_id,config_hash,git_sha,image
5760,6.080539233870893,15.367085413223865,9.286546179352973,5.744158529500272,2.3574465245969902,1.1849411252557114,624287.8449122196,63.823983661114134,3.9498037508523716,7.858155081989968,69.54861111111111,1754,1734.13161277771,100.0,0,0.0,62.77777777777778,2144,4717.763122558594,3898,1963.8148823128304,136.20012919195727,1746.2566852386212,1151.9794632998821,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,0,2022,0.0,6,181.8,regen-v2,637c6b535a9e,c791148,local
5760,4.887310260862458,13.199663144606841,8.312352883744383,4.996715407574982,2.7739313493638793,0.5417061268055234,536236.315249653,55.51906008416647,1.805687089351745,9.246437831212932,61.458333333333336,2220,1932.488844871521,100.0,0,0.0,50.03472222222223,2878,6183.6396408081055,5098,1708.2787725785734,62.26507190368359,2054.7639629001524,1552.861338220972,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,0,2023,0.0,6,243.3,regen-v2,637c6b535a9e,c791148,local
5760,8.32664478998262,16.502752302212123,8.176107512229507,4.701414855741353,2.5031651218346767,0.971527534653475,670424.3122773676,52.23794284157059,3.2384251155115833,8.343883739448923,59.07986111111111,2357,2414.727864265442,100.0,0,0.0,62.673611111111114,2150,5159.539752960205,4507,1607.321318326006,111.66983167934497,1854.1963867111438,1409.3168444755456,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d3,sindy_mpc_conf,3,0,2020,0.0,6,63.1,regen-v2,637c6b535a9e,c791148,local
5760,-1.5897300006304438,7.979161876078095,9.568891876708538,6.657585830810034,1.8830840556319424,1.0282219902665608,324153.4512156726,73.97317589788928,3.4274066342218696,6.276946852106475,67.46527777777777,1874,1642.661316394806,99.82638888888889,10,1642.3773193359375,52.916666666666664,2712,6431.149826049805,4596,2276.0977198884116,118.18643545263203,1394.8770785098664,1251.1496268634041,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d3,sindy_mpc_conf,3,0,2021,0.0,6,118.3,regen-v2,637c6b535a9e,c791148,local
5760,5.93955531886678,15.257173828520793,9.317618509654016,5.751934818239173,2.377919503747925,1.1877641876669176,619822.6867836573,63.91038686932414,3.9592139588897255,7.926398345826417,72.65625,1575,1430.1593341827393,99.91319444444444,5,159.0421142578125,62.916666666666664,2136,5000.436096191406,3716,1966.4734424722906,136.52461918148958,1761.421854461617,1204.3806373443729,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d3,sindy_mpc_conf,3,0,2022,0.0,6,181.0,regen-v2,637c6b535a9e,c791148,local
5760,4.721075709997292,13.090601100298313,8.369525390301021,5.076902426760933,2.7208831806296043,0.5717397829104838,531805.669699619,56.41002696401037,1.9057992763682794,9.069610602098681,68.97569444444444,1787,1433.7144346237183,100.0,0,0.0,48.62847222222222,2959,6166.6073570251465,4746,1735.693136700609,65.71721653762052,2015.4690230749611,1620.5011416639404,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d3,sindy_mpc_conf,3,0,2023,0.0,6,242.6,regen-v2,637c6b535a9e,c791148,local
5760,8.489003096493365,16.202673038809316,7.713669942315949,4.644466332284322,2.4499051033574917,0.6192985066741346,658233.5922016284,51.6051814698258,2.064328355580449,8.166350344524973,56.666666666666664,2496,2711.8199186325073,100.0,0,0.0,63.125,2124,4956.486423492432,4620,1587.8517378362467,71.1837362953662,1814.7445208909182,1446.9240928228069,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d4,sindy_mpc_conf,4,0,2020,0.0,6,79.7,regen-v2,637c6b535a9e,c791148,local
5760,-1.5110543117059392,7.886094320508633,9.397148632214572,6.6033818606257295,1.8238319907292113,0.969934780859631,320372.5817706632,73.3709095625081,3.2331159361987702,6.079439969097371,65.3125,1998,1902.8363857269287,99.82638888888889,10,1220.864990234375,51.5625,2790,6368.404563903809,4798,2257.5664476542624,111.48675632966734,1350.9866596488823,1309.896369708108,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d4,sindy_mpc_conf,4,0,2021,0.0,6,151.1,regen-v2,637c6b535a9e,c791148,local
5760,3.1933295255101055,12.2558149887773,9.062485463267192,5.783329737510522,2.314593173500729,0.9645625522559431,497892.4839190778,64.25921930567247,3.2152085075198107,7.715310578335763,69.73958333333333,1743,1670.8999843597412,99.80902777777779,11,1916.8179931640625,61.33680555555555,2227,5685.064998626709,3981,1977.2067480664102,110.86925902299083,1714.513461806082,1249.1072092615004,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d4,sindy_mpc_conf,4,0,2022,0.0,6,225.8,regen-v2,637c6b535a9e,c791148,local
5760,4.764815262153041,12.808073168802757,8.043257906649716,5.007638203082438,2.663587486291592,0.3720322172756849,520327.972482612,55.64042447869376,1.2401073909189497,8.878624954305307,62.673611111111114,2150,1852.140248298645,100.0,0,0.0,49.583333333333336,2904,5882.573768615723,5054,1712.0130592116475,42.76232392391485,1973.0277665284793,1675.0312800309277,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d4,sindy_mpc_conf,4,0,2023,0.0,6,307.0,regen-v2,637c6b535a9e,c791148,local
5760,6.34870671258601,16.528777984017474,10.180071271431466,4.141656088635681,4.779098587287452,1.2593165955083312,671481.6056007099,46.0184009848409,4.197721985027771,15.930328624291507,52.44791666666667,2739,3655.629138946533,64.14930555555556,2065,2142920.1724853516,53.03819444444444,2705,6314.898944854736,7509,1415.9507990007764,144.7490338519059,3540.073026766786,1404.0225116090396,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d5,sindy_mpc_conf,5,0,2020,0.0,6,80.5,regen-v2,637c6b535a9e,c791148,local
5760,-4.57947910266724,8.813092715190844,13.392571817858084,5.671720752080764,4.830544452846936,2.890306612930384,358031.89155462803,63.01911946756405,9.634355376434614,16.10181484282312,57.30902777777778,2459,3146.5845036506653,52.708333333333336,2724,4021455.864013672,31.42361111111111,3950,8941.657852172852,9133,1939.0498295103812,332.2191505677742,3578.1810759746377,1254.5677177230862,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d5,sindy_mpc_conf,5,0,2021,0.0,6,153.9,regen-v2,637c6b535a9e,c791148,local
5760,-3.8344267517946222,11.121861194486137,14.956287946280758,4.493786970383017,4.786695508752466,5.675805467145275,451825.6110259993,49.930966337589076,18.919351557150918,15.955651695841553,57.93402777777777,2423,3529.703227519989,60.08680555555556,2299,6347901.975463867,42.395833333333336,3318,9404.575817108154,8040,1536.3374246492954,652.3914329552075,3545.7003757503585,1244.3338681068335,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d5,sindy_mpc_conf,5,0,2022,0.0,6,228.5,regen-v2,637c6b535a9e,c791148,local
5760,2.3932909819250607,13.029254173698158,10.635963191773097,4.6961239773917836,5.339924579629614,0.5999146347516996,529313.4508064877,52.17915530435315,1.9997154491723321,17.799748598765383,59.72222222222222,2320,2499.0836696624756,73.17708333333334,1545,1198282.10546875,42.34375,3321,6746.708854675293,7186,1605.5124713145465,68.9557050965937,3955.499687918121,1648.7058975980271,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d5,sindy_mpc_conf,5,0,2023,0.0,6,299.1,regen-v2,637c6b535a9e,c791148,local
5760,0.36307064397236466,6.27663538799921,5.913564744026846,5.019181840074725,0.02071073615235934,0.8736721677997615,254988.31263746793,55.76868711194139,2.9122405593325387,0.06903578717453114,66.70138888888889,1918,4156.11777305603,81.26736111111111,1079,144659.33918762207,56.00694444444444,2534,11634.461753845215,5531,1715.9596035341235,100.42208849845036,15.341286105465851,577.7876274454297,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf_dagger/d0,sindy_mpc_conf_dagger,0,0,2020,0.0,6,92.4,regen-v2,637c6b535a9e,c791148,local
