block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
guard,plain,8,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.19616799043626887,8.873969843684243,8.677801853247976,6.09901416361702,2.476401536272175,0.10238615335877986,360505.0248996724,67.7668240401891,0.34128717786259954,8.254671787573917,59.84374999999999,2313.0,4078.2661895751953,98.35069444444444,95.0,58353.14794921875,73.80208333333333,1509.0,1893.8353958129883,3917.0,2085.1330471047495,11.768523338021392,1834.3715089110929,1338.8417283255244,0.0,5760.0,1.0,False,False,complete,-1.0,95.1
guard,guarded,8,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5027.0,-0.4569666226563538,7.399511939692472,7.856478562348825,5.852938265728559,1.785589385300638,0.21795091131962835,300605.17255000665,65.03264739698399,0.7265030377320946,5.951964617668794,55.520190968768645,2236.0,6094.163015365601,98.3489158543863,83.0,47167.03137207031,67.89337577083748,1614.0,6683.681926727295,3933.0,2001.0045350885184,25.05182889807535,1322.6588026539173,956.9132364124368,0.0,5760.0,0.8727,True,False,env_terminated,-1.0,79.9
signal,mahalanobis,8,1,2023,2.8595478900837885,0.12885753022946442,0.16397647713427324,0.6062593454562994,0.6593896043689841,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,8,1,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-0.41656189243688235,8.44950090744074,8.866062799877621,5.989704081334894,2.8754052254099114,0.000953493132814765,343260.97436478,66.55226757038771,0.003178310442715883,9.584684084699704,58.78472222222222,2374.0,2986.877968788147,100.0,0.0,0.0,67.11805555555556,1894.0,2186.839542388916,4268.0,2047.7620794484278,0.1095969109010551,2129.929797208364,1742.3797049678126,0.0,5760.0,1.0,False,False,complete,-1.0,90.1
guard,guarded,8,1,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-1.212949970691728,7.842706381777914,9.055656352469644,6.024425102275938,2.839587836025272,0.19164341416843234,318609.9467597278,66.93805669195487,0.6388113805614412,9.465292786750908,57.62152777777778,2441.0,3767.6179208755493,99.60069444444444,23.0,3418.3814697265625,65.65972222222223,1978.0,5119.828472137451,4442.0,2059.6325143244376,22.027978643954775,2103.398397141538,1684.025742493116,0.0,5760.0,1.0,False,False,complete,-1.0,89.6
signal,mahalanobis,8,2,2021,2.8595478900837885,0.2501216996980503,0.2668209460676772,0.6840488804210346,0.7361456122580231,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,8,2,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.4545090200589486,7.02820453673918,9.482713556798128,7.318557925883461,2.0321782668680752,0.13197736404659227,285520.80930502916,81.31731028759401,0.43992454682197424,6.7739275562269174,59.982638888888886,2305.0,3709.7412858121097,99.28819444444444,41.0,43927.22595214844,63.94097222222223,2077.0,2798.59725189209,4423.0,2502.071085668861,15.169811884923224,1505.3172342220641,1433.4873313637108,0.0,5760.0,1.0,False,False,complete,-1.0,89.6
guard,guarded,8,2,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.400760966637939,6.998644285508194,9.399405252146135,7.150212201510835,1.9157846957543576,0.33340835488094017,284319.92409877037,79.44680223900929,1.1113611829364674,6.385948985847859,53.923611111111114,2654.0,5795.970283031464,98.48958333333333,87.0,48101.89294433594,58.71527777777777,2378.0,9483.00651550293,5119.0,2444.516991890493,38.32279942300555,1419.099775418657,1333.700669680632,0.0,5760.0,1.0,False,False,complete,-1.0,88.0
signal,mahalanobis,8,2,2022,2.8595478900837885,0.2536351921225178,0.36233487372167095,0.7126535133556284,0.7526137131005208,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,8,2,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.06891509902021753,8.840752539665774,8.771837440645555,6.280887221277129,2.40551969692917,0.0854305224392563,359155.57192392205,69.7876357919681,0.28476840813085436,8.0183989897639,62.89930555555555,2137.0,3739.719846725464,98.87152777777779,65.0,34061.45349121094,71.21527777777777,1658.0,2190.0402755737305,3860.0,2147.311871378686,9.819600270886436,1781.8664428790255,1405.7986406450332,0.0,5760.0,1.0,False,False,complete,-1.0,95.5
