metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,block,condition,recipe,seed,test_year,xi_uboil,rng_seed,traj_steps,regen_id,config_hash,git_sha,image
rollout,4,co2,166.8185495748194,129.21879690614693,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,rh,7.182748236901116,5.417987888935114,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,t_in,2.3283483099466693,1.9103844621544124,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,co2,363.1247891585555,286.6269235850546,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,rh,8.838747841161327,7.109355802704483,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,t_in,2.4277834020985467,1.9849099151931566,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,co2,537.0289916063432,435.9371726803313,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,rh,9.269961947278581,7.253503380734605,,0.0,20.0,replay,replay_confirmatory,confirmatory,2,2020,0.0,1712067057,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,t_in,1.7757002292543351,1.3823149971121542,0.8410826220416701,,,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,co2,101.45099682324296,82.03095694565623,0.691496884943442,,,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
one_step,1,rh,6.314764338450871,4.481796817130074,0.6767038306405769,,,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,t_in,2.3298050811638933,1.9439283249423078,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,co2,177.0187626467976,140.10968987967937,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,4,rh,6.953782073136842,5.211878465896976,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,t_in,2.4150911203808287,1.9897820099554946,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,co2,332.4914850773223,265.04666170591946,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,20,rh,8.331046090648899,6.596994577817587,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,t_in,2.4641104335104,2.0206863946500206,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,co2,519.6594486684453,430.0812318224245,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
rollout,96,rh,8.53767696953348,6.498634230976948,,0.0,20.0,replay,replay_lowthr,lowthr,2,2020,0.04235727841169543,288255471,5760,regen-v2,637c6b535a9e,9ccdf85,local
