family,condition,seed,feature_variant,xi_uboil,xi_t_uboil,xi_uboil_baseline,xi_uboil_greybox,secs,epi,viol,t_in_in_corridor_pct,t_in_violation_steps,boiler_sum,solver_failures
main,knockin,8,physics_no_cross,0.035544391166728,,0.0,0.035544391166728,74.4,5.175223151042796,3690,57.88194444444444,2426,1823.5455487678653,0
interaction,phys_baseline,8,physics,0.0,0.0,0.0,,87.3,3.959712756513242,5766,45.208333333333336,3156,1547.8137542097952,0
interaction,phys_ko_uboil_alone,8,physics,0.0,0.0,0.0,,87.9,3.959712756513242,5766,45.208333333333336,3156,1547.8137542097952,0
interaction,phys_ko_uboil_and_cross,8,physics,0.0,0.0,0.0,,88.3,3.959712756513242,5766,45.208333333333336,3156,1547.8137542097952,0
main,baseline,9,physics_no_cross,0.0,,0.0,0.0244015933718108,69.6,-1.426369407634297,5205,45.451388888888886,3142,1558.9983775581509,0
main,knockout,9,physics_no_cross,0.0,,0.0,0.0244015933718108,73.8,-1.426369407634297,5205,45.451388888888886,3142,1558.9983775581509,0
main,knockin,9,physics_no_cross,0.0244015933718108,,0.0,0.0244015933718108,70.5,1.3026506373209128,5006,48.107638888888886,2989,1574.2060172681868,0
interaction,phys_baseline,9,physics,0.131530080554194,-0.0692631590998462,0.131530080554194,,79.2,4.795052548760115,4954,52.552083333333336,2733,1520.995366324202,0
interaction,phys_ko_uboil_alone,9,physics,0.0,-0.0692631590998462,0.131530080554194,,81.8,-2.530038424833209,6389,38.22916666666666,3558,1826.0151336703248,0
interaction,phys_ko_uboil_and_cross,9,physics,0.0,0.0,0.131530080554194,,77.5,-1.5780467829782,5559,44.94791666666666,3171,1520.3543804801566,0
